URL,HTTP Status Code,Response Time (s),Crawl Timestamp,HTML Title,Canonical URL,robots Directive,Content Type,Page Size (Raw/Compressed Bytes),Page Size (Uncompressed Bytes)
https://a-z-animals.com/animals/amargasaurus/,200,0.102,2025-10-11 19:38:30.343577+00:00,Amargasaurus Animal Facts - Amargasaurus cazaui - A-Z Animals,https://a-z-animals.com/animals/amargasaurus/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,59145,257319
https://a-z-animals.com/animals/amazon-parrot/,200,0.107,2025-10-11 19:38:32.453526+00:00,Amazon Parrot Bird Facts - A-Z Animals,https://a-z-animals.com/animals/amazon-parrot/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,61601,268792
https://a-z-animals.com/animals/pink-dolphin/,200,0.131,2025-10-11 19:38:34.588251+00:00,Amazon River Dolphin (Pink Dolphin) Animal Facts - Inia geoffrensis - A-Z Animals,https://a-z-animals.com/animals/pink-dolphin/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,61734,265919
https://a-z-animals.com/animals/amazon-tree-boa/,200,0.107,2025-10-11 19:38:36.699094+00:00,Amazon Tree Boa Animal Facts - Corallus hortulanus - A-Z Animals,https://a-z-animals.com/animals/amazon-tree-boa/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60069,261323
https://a-z-animals.com/animals/amazonian-royal-flycatcher/,200,0.112,2025-10-11 19:38:38.814402+00:00,Amazonian Royal Flycatcher Bird Facts - A-Z Animals,https://a-z-animals.com/animals/amazonian-royal-flycatcher/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,59609,262902
https://a-z-animals.com/animals/amberjack/,200,0.093,2025-10-11 19:38:40.911613+00:00,Amberjack Fish Facts - Seriola - A-Z Animals,https://a-z-animals.com/animals/amberjack/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,59870,259225
https://a-z-animals.com/animals/ambrosia-beetle/,200,0.148,2025-10-11 19:38:43.062678+00:00,Ambrosia Beetle Insect Facts - A-Z Animals,https://a-z-animals.com/animals/ambrosia-beetle/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60938,267750
https://a-z-animals.com/animals/alligator/,200,0.153,2025-10-11 19:38:45.220964+00:00,American Alligator Animal Facts - Alligator mississippiensis - A-Z Animals,https://a-z-animals.com/animals/alligator/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,64707,287474
https://a-z-animals.com/animals/american-alsatian/,200,0.118,2025-10-11 19:38:47.342616+00:00,American Alsatian Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-alsatian/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,68891,323102
https://a-z-animals.com/animals/american-bulldog/,200,0.134,2025-10-11 19:38:49.480649+00:00,American Bulldog Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-bulldog/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,71189,335909
https://a-z-animals.com/animals/american-bully/,200,0.128,2025-10-11 19:38:51.612560+00:00,American Bully Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-bully/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,69634,326400
https://a-z-animals.com/animals/american-cocker-spaniel/,200,0.115,2025-10-11 19:38:53.731640+00:00,American Cocker Spaniel Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-cocker-spaniel/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,71799,337797
https://a-z-animals.com/animals/american-cockroach/,200,0.149,2025-10-11 19:38:55.884705+00:00,American Cockroach Insect Facts - Periplaneta americana - A-Z Animals,https://a-z-animals.com/animals/american-cockroach/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,64570,285139
https://a-z-animals.com/animals/american-coonhound/,200,0.112,2025-10-11 19:38:58.000462+00:00,American Coonhound Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-coonhound/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,70310,329871
https://a-z-animals.com/animals/american-dog-tick/,200,0.113,2025-10-11 19:39:00.117774+00:00,American Dog Tick Animal Facts - Dermacentor variabilis - A-Z Animals,https://a-z-animals.com/animals/american-dog-tick/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60978,264042
https://a-z-animals.com/animals/american-eel/,200,0.13,2025-10-11 19:39:02.251304+00:00,American Eel Fish Facts - Anguilla rostrata - A-Z Animals,https://a-z-animals.com/animals/american-eel/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,63375,270435
https://a-z-animals.com/animals/american-eskimo-dog/,200,0.145,2025-10-11 19:39:04.400923+00:00,American Eskimo Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-eskimo-dog/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,69178,323298
https://a-z-animals.com/animals/american-foxhound/,200,0.1,2025-10-11 19:39:06.505302+00:00,American Foxhound Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-foxhound/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,67693,318413
https://a-z-animals.com/animals/american-hairless-terrier/,200,0.118,2025-10-11 19:39:08.626483+00:00,American Hairless Terrier Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-hairless-terrier/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,68392,321352
https://a-z-animals.com/animals/american-leopard-hound/,200,0.127,2025-10-11 19:39:10.756926+00:00,American Leopard Hound Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-leopard-hound/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,69316,322099
https://a-z-animals.com/animals/american-paddlefish/,200,0.121,2025-10-11 19:39:12.882168+00:00,American Paddlefish Animal Facts - Polyodon spathula  - A-Z Animals,https://a-z-animals.com/animals/american-paddlefish/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60207,259677
https://a-z-animals.com/animals/american-pit-bull-terrier/,200,0.096,2025-10-11 19:39:14.981589+00:00,American Pit Bull Terrier Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-pit-bull-terrier/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,71448,337202
https://a-z-animals.com/animals/american-pugabull/,200,0.129,2025-10-11 19:39:17.115044+00:00,American Pugabull Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-pugabull/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,65917,310712
https://a-z-animals.com/animals/american-pygmy-goat/,200,0.103,2025-10-11 19:39:19.222120+00:00,American Pygmy Goat Animal Facts - Capra aegagrus hircus - A-Z Animals,https://a-z-animals.com/animals/american-pygmy-goat/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60594,266197
https://a-z-animals.com/animals/american-robin/,200,0.106,2025-10-11 19:39:21.331499+00:00,American Robin Bird Facts - Turdus migratorius - A-Z Animals,https://a-z-animals.com/animals/american-robin/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62215,272573
https://a-z-animals.com/animals/american-staffordshire-terrier/,200,0.119,2025-10-11 19:39:23.454947+00:00,American Staffordshire Terrier Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/american-staffordshire-terrier/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,68131,321663
